group,model,split,tag,bucket_group,bucket,rollouts,success_0p5cm,success_1cm,success_2cm,success_5cm,mean_best_cm,mean_final_cm,metrics_path
Edge-balanced visual-only,Frozen ResNet18,ID,frozen,corner,upper_right_corner,15,0.0,0.0,0.06666666666666667,0.9333333333333333,4.286166653037071,9.181051601966223,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Frozen ResNet18,ID,frozen,edge,left_edge,18,0.0,0.05555555555555555,0.05555555555555555,0.1111111111111111,12.738230317417118,33.85155085060332,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Frozen ResNet18,ID,frozen,edge,lower_edge,18,0.05555555555555555,0.16666666666666666,0.5555555555555556,1.0,1.8327903390551608,6.925556684533755,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Frozen ResNet18,ID,frozen,edge,right_edge,18,0.0,0.3333333333333333,0.8333333333333334,1.0,1.3331648867784274,8.537442692452007,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Frozen ResNet18,ID,frozen,edge,upper_edge,18,0.0,0.0,0.16666666666666666,0.3333333333333333,12.193116607765358,18.343593697581024,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Frozen ResNet18,ID,frozen,interior,interior,15,0.0,0.0,0.06666666666666667,0.2,8.00048396612207,11.131371061007183,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Frozen ResNet18,ID,frozen,corner,all_corner,63,0.015873015873015872,0.09523809523809523,0.30158730158730157,0.746031746031746,8.213208024463956,14.245883002877235,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Frozen ResNet18,ID,frozen,edge,all_edge,72,0.013888888888888888,0.1388888888888889,0.4027777777777778,0.6111111111111112,7.024325537754016,16.914535981292524,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Frozen ResNet18,ID,frozen,interior,all_interior,15,0.0,0.0,0.06666666666666667,0.2,8.00048396612207,11.131371061007183,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/id/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_balanced.json
Edge-balanced visual-only,Frozen ResNet18,OOD,frozen,corner,lower_left_corner,3,0.0,0.6666666666666666,0.6666666666666666,1.0,1.7565778456628323,6.634693841139476,results/edge_balanced_frozen_resnet18_bc_128px_phase_precise_avoid/metrics/ood/metrics__frozen_resnet18_bc_128__avoid_spatial_edge_balanced__budget200__seed000__eval_avoid_spatial_edge_ood_eval.json
