family,family_dir,split,train_config,task,axis,variant,budget,seed,eval_config,rollout_count,success_rate_at_0p5cm,success_rate_at_1cm,success_rate_at_2cm,success_rate_at_5cm,mean_best_distance,mean_final_distance
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,5,2,avoid_spatial_edge_ood_eval,150,0.0,0.006666666666666667,0.05333333333333334,0.20666666666666667,0.1386916084898015,0.2880096766849359
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_color_multi,avoid_reach,color,diverse_train,50,1,avoid_color_ood_eval,150,0.0,0.0,0.0,1.0,0.04099446098009745,0.07697903235753377
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,camera_fixed,reach,camera_location_viewpoint,fixed_train,50,2,camera_extreme_ood_eval,150,0.0,0.0,0.013333333333333334,0.7466666666666667,0.04422666884958744,0.34290416051944095
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,spatial_narrow,reach,spatial_distribution,narrow_train,20,0,spatial_edge_ood_eval,150,0.006666666666666667,0.013333333333333334,0.08,0.19333333333333333,0.10891312662201623,0.2114031547556321
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_color_multi,avoid_reach,color,diverse_train,20,0,avoid_color_ood_eval,150,0.0,0.0,0.0,0.0,0.19916083186864852,0.47274627685546877
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,5,1,avoid_camera_extreme_ood_eval,150,0.0,0.0,0.0,0.25333333333333335,0.05361347792049249,0.2074235484500726
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,camera_fixed,reach,camera_location_viewpoint,fixed_train,5,1,camera_extreme_ood_eval,150,0.0,0.0,0.16,1.0,0.02902174318830172,0.32786620542407036
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,5,1,avoid_lighting_extreme_ood_eval,150,0.0,0.0,0.0,0.72,0.047396188005805015,0.22349110742410025
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,5,0,avoid_lighting_extreme_ood_eval,150,0.0,0.0,0.0,0.28,0.08404031045734882,0.25135494033495587
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,50,1,avoid_camera_extreme_ood_eval,150,0.0,0.0,0.0,0.4866666666666667,0.07859549292673668,0.25347469456493854
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,50,2,avoid_lighting_extreme_ood_eval,150,0.28,0.28,0.56,1.0,0.02231928678850333,0.2714569632212321
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,lighting_fixed,reach,lighting_direction_intensity,fixed_train,50,1,lighting_extreme_ood_eval,150,0.0,0.26666666666666666,0.26666666666666666,0.7733333333333333,0.03110045130054156,0.25091796000798544
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_camera_fixed,avoid_reach,camera_location_viewpoint,fixed_train,20,2,avoid_camera_extreme_ood_eval,150,0.0,0.0,0.0,0.4,0.0839748315513134,0.16904865883290768
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,lighting_diverse,reach,lighting_direction_intensity,diverse_train,5,1,lighting_extreme_ood_eval,150,0.0,0.0,0.68,1.0,0.018149283081293106,0.366100549697876
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_color_red_only,avoid_reach,color,fixed_train,50,2,avoid_color_ood_eval,150,0.0,0.0,0.0,1.0,0.04372998071213563,0.05505817636847496
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_color_red_only,avoid_reach,color,fixed_train,5,2,avoid_color_ood_eval,150,0.0,0.0,0.0,0.0,0.08192428727944692,0.18473062813282012
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,spatial_wide,reach,spatial_distribution,wide_train,20,2,spatial_edge_ood_eval,150,0.0,0.04,0.17333333333333334,0.5333333333333333,0.05442363003268838,0.15541175266106924
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,lighting_diverse,reach,lighting_direction_intensity,diverse_train,20,2,lighting_extreme_ood_eval,150,0.0,0.0,0.49333333333333335,1.0,0.02249085411429405,0.3413116574287415
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,camera_multi_pose,reach,camera_location_viewpoint,diverse_train,50,2,camera_extreme_ood_eval,150,0.006666666666666667,0.47333333333333333,0.9933333333333333,1.0,0.010747268038491409,0.3462344300746918
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,color_multi,reach,color,diverse_train,50,0,color_ood_eval,150,0.0,0.0,1.0,1.0,0.012498952013750871,0.33782650689284005
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,color_red_only,reach,color,fixed_train,50,0,color_ood_eval,150,0.0,0.25333333333333335,0.74,1.0,0.017216383125633002,0.3502194299300512
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,5,0,avoid_spatial_edge_ood_eval,150,0.0,0.0,0.013333333333333334,0.10666666666666667,0.16120454718048374,0.26248859499891597
Frozen ResNet,frozen_resnet18_bc_128px_v1,ood,camera_multi_pose,reach,camera_location_viewpoint,diverse_train,5,2,camera_extreme_ood_eval,150,0.03333333333333333,0.30666666666666664,0.7466666666666667,1.0,0.015676093042517703,0.3290178522964319
