train_config,task,axis,variant,budget,seed,num_samples,num_episodes,success_rate,trajectory_len_mean,trajectory_len_p50,trajectory_len_p95,action_mag_mean,action_mag_p95,external_brightness_mean,external_contrast_mean,eef_brightness_mean,eef_contrast_mean,flag_count,flags
avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,20,1,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,143.62758445739746,89.92221328735351,64.1986915588379,11.030782713890076,0,
avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,20,2,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,147.73015327453612,86.75831245422363,70.46093170166016,11.324564979076385,0,
avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,50,0,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,145.8194652557373,87.71300613403321,67.44775657653808,10.139890248775481,0,
avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,50,1,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,144.31084087371826,89.12844245910645,65.20835304260254,10.564918186664581,0,
avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,50,2,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,146.50525787353516,87.75032352447509,68.71664306640625,11.299103398323059,0,
avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,5,0,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,141.89420051574706,89.61374580383301,62.36464973449707,8.836352458000183,0,
avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,5,1,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,141.89420051574706,89.61374580383301,62.36464973449707,8.836352458000183,0,
avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,5,2,740,5,1.0,148.0,148.0,148.0,0.11953774989741635,0.31742138534840475,141.89420051574706,89.61374580383301,62.36464973449707,8.836352458000183,0,
avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,20,0,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,141.89413345336914,89.61485675811768,62.362633266448974,8.837426056861878,0,
avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,20,1,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,141.89413345336914,89.61485675811768,62.362633266448974,8.837426056861878,0,
avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,20,2,2960,20,1.0,148.0,148.0,148.0,0.11953774989741632,0.31742138534840475,141.89413345336914,89.61485675811768,62.362633266448974,8.837426056861878,0,
avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,50,0,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,141.89304000854492,89.61454742431641,62.36048179626465,8.838749127388,0,
avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,50,1,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,141.89304000854492,89.61454742431641,62.36048179626465,8.838749127388,0,
avoid_lighting_fixed,avoid_reach,lighting_direction_intensity,fixed_train,50,2,7400,50,1.0,148.0,148.0,148.0,0.11953774989741633,0.31742138534840475,141.89304000854492,89.61454742431641,62.36048179626465,8.838749127388,0,
avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,5,0,731,5,1.0,146.2,145.0,149.6,0.11734855123334488,0.31748847313853895,208.19135276794432,49.030833625793456,170.69651557922364,34.127106227874755,0,
avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,5,1,729,5,1.0,145.8,146.0,152.2,0.11787408792915571,0.31742138534840475,208.1019401550293,48.90181806564331,162.0444507598877,32.64102617502213,0,
avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,5,2,738,5,1.0,147.6,149.0,154.4,0.11957880164970731,0.3174314485169249,208.19396743774413,48.97677417755127,166.24643524169923,33.84946498394012,0,
avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,20,0,2951,20,1.0,147.55,148.0,153.05,0.11855890783761085,0.31742138534840475,208.15513893127442,48.93977077484131,165.4285163116455,32.953452706336975,0,
avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,20,1,2913,20,1.0,145.65,146.0,152.05,0.11839051399828729,0.31742138534840475,208.1578059387207,48.918223457336424,164.74201038360596,33.44184102058411,0,
avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,20,2,2978,20,1.0,148.9,150.5,155.0,0.11978390176430015,0.31742138534840475,208.16518188476562,48.90908983230591,162.7973971939087,33.14075575828552,0,
avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,50,0,7244,50,1.0,144.88,145.5,153.0,0.11779357753185564,0.31748847313853895,208.1540789794922,48.95269926071167,166.07814697265624,32.928434126377105,0,
avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,50,1,7293,50,1.0,145.86,146.0,153.55,0.11855608530057805,0.31742138534840475,208.1591562652588,48.909822177886966,165.98410766601563,32.72950873374939,0,
avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,50,2,7314,50,1.0,146.28,148.5,155.0,0.11867114184251498,0.31742138534840475,208.16570190429687,48.93276411056519,163.0568585205078,33.209082560539244,0,
avoid_spatial_wide,avoid_reach,spatial_distribution,wide_train,5,0,695,5,1.0,139.0,140.0,157.4,0.11923651528571726,0.32033811934686535,208.10751670837402,49.072233238220214,168.3266455078125,34.57299719810486,0,
avoid_spatial_wide,avoid_reach,spatial_distribution,wide_train,5,1,640,5,1.0,128.0,118.0,154.4,0.11999043879919773,0.3271937543939021,208.05435775756837,49.133553142547605,165.32717254638672,37.00684272766113,0,
avoid_spatial_wide,avoid_reach,spatial_distribution,wide_train,5,2,674,5,1.0,134.8,147.0,153.2,0.12096727633235467,0.32701436545228574,208.10342918395997,49.17094118118286,170.6056494140625,34.48369149208069,0,
avoid_spatial_wide,avoid_reach,spatial_distribution,wide_train,20,0,2851,20,1.0,142.55,147.0,162.15,0.12031867921423431,0.32076240031000325,208.09270416259767,49.09578310012817,168.22437202453614,33.86366988182068,0,
avoid_spatial_wide,avoid_reach,spatial_distribution,wide_train,20,1,2631,20,1.0,131.55,130.0,162.0,0.12053657082542106,0.3270646413167445,208.08327003479005,49.150899505615236,167.5060193634033,35.4657542514801,0,
avoid_spatial_wide,avoid_reach,spatial_distribution,wide_train,20,2,2747,20,1.0,137.35,148.5,164.05,0.12219992378079207,0.32698729383296177,208.0728704071045,49.116578636169436,167.40837688446044,34.408133049011234,0,
avoid_spatial_wide,avoid_reach,spatial_distribution,wide_train,50,0,7081,50,1.0,141.62,147.0,162.55,0.12096130985461748,0.32143142842563244,208.09425903320312,49.104211750030515,169.3978672027588,33.782509069442746,0,
avoid_spatial_wide,avoid_reach,spatial_distribution,wide_train,50,1,6798,50,1.0,135.96,138.5,162.0,0.1205701991844758,0.32698729383296177,208.1270433807373,49.11839723587036,168.26554790496826,35.324723358154294,0,
avoid_spatial_wide,avoid_reach,spatial_distribution,wide_train,50,2,6807,50,1.0,136.14,142.5,165.0,0.12224080701755204,0.32698729383296177,208.07115173339844,49.0892876625061,166.66452045440673,34.274568510055545,0,
camera_fixed,reach,camera_location_viewpoint,fixed_train,5,0,395,5,1.0,79.0,79.0,79.0,0.1958225726490013,0.4470100175569244,209.0592995452881,48.2308717918396,175.59631072998047,25.489797649383544,0,
camera_fixed,reach,camera_location_viewpoint,fixed_train,5,1,395,5,1.0,79.0,79.0,79.0,0.1958225726490013,0.4470100175569244,209.0592995452881,48.2308717918396,175.59631072998047,25.489797649383544,0,
camera_fixed,reach,camera_location_viewpoint,fixed_train,5,2,395,5,1.0,79.0,79.0,79.0,0.1958225726490013,0.4470100175569244,209.0592995452881,48.2308717918396,175.59631072998047,25.489797649383544,0,
camera_fixed,reach,camera_location_viewpoint,fixed_train,20,0,1580,20,1.0,79.0,79.0,79.0,0.19582257264900124,0.4561692338308953,209.0599691772461,48.23042751312256,175.59752174377442,25.494832544326783,0,
camera_fixed,reach,camera_location_viewpoint,fixed_train,20,1,1580,20,1.0,79.0,79.0,79.0,0.19582257264900124,0.4561692338308953,209.0599691772461,48.23042751312256,175.59752174377442,25.494832544326783,0,
camera_fixed,reach,camera_location_viewpoint,fixed_train,20,2,1580,20,1.0,79.0,79.0,79.0,0.19582257264900124,0.4561692338308953,209.0599691772461,48.23042751312256,175.59752174377442,25.494832544326783,0,
camera_fixed,reach,camera_location_viewpoint,fixed_train,50,0,3950,50,1.0,79.0,79.0,79.0,0.19582257264900127,0.4561692338308953,209.05928817749023,48.229178981781004,175.59790657043456,25.498800621032714,0,
camera_fixed,reach,camera_location_viewpoint,fixed_train,50,1,3950,50,1.0,79.0,79.0,79.0,0.19582257264900127,0.4561692338308953,209.05928817749023,48.229178981781004,175.59790657043456,25.498800621032714,0,
camera_fixed,reach,camera_location_viewpoint,fixed_train,50,2,3950,50,1.0,79.0,79.0,79.0,0.19582257264900127,0.4561692338308953,209.05928817749023,48.229178981781004,175.59790657043456,25.498800621032714,0,
camera_multi_pose,reach,camera_location_viewpoint,diverse_train,5,0,395,5,1.0,79.0,79.0,79.0,0.1958225726490013,0.4470100175569244,211.49827774047853,47.71819940567016,175.59631072998047,25.489797649383544,0,
camera_multi_pose,reach,camera_location_viewpoint,diverse_train,5,1,395,5,1.0,79.0,79.0,79.0,0.1958225726490013,0.4470100175569244,212.35491676330565,47.35586109161377,175.59631072998047,25.489797649383544,0,
camera_multi_pose,reach,camera_location_viewpoint,diverse_train,5,2,395,5,1.0,79.0,79.0,79.0,0.1958225726490013,0.4470100175569244,212.46166374206544,47.71889190673828,175.59631072998047,25.489797649383544,0,
camera_multi_pose,reach,camera_location_viewpoint,diverse_train,20,0,1580,20,1.0,79.0,79.0,79.0,0.19582257264900124,0.4561692338308953,211.30319206237792,47.10533458709717,175.59752174377442,25.494832544326783,0,
camera_multi_pose,reach,camera_location_viewpoint,diverse_train,20,1,1580,20,1.0,79.0,79.0,79.0,0.19582257264900124,0.4561692338308953,210.93247383117676,47.41680391311645,175.59752174377442,25.494832544326783,0,
camera_multi_pose,reach,camera_location_viewpoint,diverse_train,20,2,1580,20,1.0,79.0,79.0,79.0,0.19582257264900124,0.4561692338308953,209.211602935791,46.462882328033444,175.59752174377442,25.494832544326783,0,
camera_multi_pose,reach,camera_location_viewpoint,diverse_train,50,0,3950,50,1.0,79.0,79.0,79.0,0.19582257264900127,0.4561692338308953,210.8230815887451,47.05194814682007,175.59790657043456,25.498800621032714,0,
camera_multi_pose,reach,camera_location_viewpoint,diverse_train,50,1,3950,50,1.0,79.0,79.0,79.0,0.19582257264900127,0.4561692338308953,210.35588203430177,46.88135829925537,175.59790657043456,25.498800621032714,0,
camera_multi_pose,reach,camera_location_viewpoint,diverse_train,50,2,3950,50,1.0,79.0,79.0,79.0,0.19582257264900127,0.4561692338308953,210.04289131164552,46.38687768936157,175.59790657043456,25.498800621032714,0,
color_multi,reach,color,diverse_train,5,0,395,5,1.0,79.0,79.0,79.0,0.1958225726490013,0.4470100175569244,209.0569069671631,48.22475967407227,175.5811033630371,25.399232463836668,0,
color_multi,reach,color,diverse_train,5,1,395,5,1.0,79.0,79.0,79.0,0.1958225726490013,0.4470100175569244,209.06941917419434,48.19020309448242,175.66022644042968,25.147823762893676,0,
color_multi,reach,color,diverse_train,5,2,395,5,1.0,79.0,79.0,79.0,0.1958225726490013,0.4470100175569244,209.08088157653808,48.16754117965698,175.7321957397461,25.014701614379884,0,
color_multi,reach,color,diverse_train,20,0,1580,20,1.0,79.0,79.0,79.0,0.19582257264900124,0.4561692338308953,209.07016204833985,48.197231674194335,175.66130676269532,25.23873194694519,0,
