family,family_label,split,axis,axis_label,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
frozen_resnet18,Frozen ResNet-18,ood,camera_location_viewpoint,Camera viewpoint,50,12,1800,3,4,18,0.01,1.0,162,0.09,9.0,535,0.2972222222222222,29.72222222222222,1541,0.8561111111111112,85.61111111111111,0.03968218173175248,0.03968218173175248,0.02495497957807567,0.01411960889348313,0.25022600138285067,0.25022600138285067,0.0994157405779109,0.05624975049265601,399.8355555555556,399.8355555555556,0.5696522656004378,0.3223111111111151,3.968218173175248,25.022600138285068
frozen_resnet18,Frozen ResNet-18,ood,camera_location_viewpoint,Camera viewpoint,100,4,600,1,4,0,0.0,0.0,79,0.13166666666666665,13.166666666666666,165,0.275,27.500000000000004,573,0.955,95.5,0.032906966612208634,0.032906966612208634,0.01571308565788031,0.015398823944722704,0.23477856183424592,0.23477856183424592,0.09700443316097061,0.0950643444977512,400.0,400.0,0.0,0.0,3.2906966612208635,23.477856183424592
frozen_resnet18,Frozen ResNet-18,ood,camera_location_viewpoint,Camera viewpoint,200,4,600,1,4,125,0.20833333333333334,20.833333333333336,160,0.26666666666666666,26.666666666666668,205,0.3416666666666667,34.166666666666664,575,0.9583333333333334,95.83333333333334,0.02998303156637121,0.02998303156637121,0.02003275875300642,0.01963210357794629,0.2206221366735796,0.2206221366735796,0.09863866270092365,0.09666588944690518,400.0,400.0,0.0,0.0,2.998303156637121,22.06221366735796
frozen_resnet18,Frozen ResNet-18,ood,color,Color,5,12,1800,3,4,108,0.06,6.0,338,0.18777777777777777,18.777777777777775,711,0.395,39.5,1389,0.7716666666666666,77.16666666666666,0.042107945382336365,0.042107945382336365,0.04283724154439278,0.024237451078256266,0.23741275251532595,0.23741275251532593,0.1154469093746095,0.0653202381204503,400.0,400.0,0.0,0.0,4.210794538233636,23.741275251532596
frozen_resnet18,Frozen ResNet-18,ood,color,Color,20,12,1800,3,4,0,0.0,0.0,234,0.13,13.0,790,0.4388888888888889,43.888888888888886,1650,0.9166666666666666,91.66666666666666,0.04000497453846037,0.04000497453846037,0.05189115214934086,0.029360183248742143,0.24474102252266472,0.24474102252266472,0.13558778856144654,0.07671601330028169,400.0,400.0,0.0,0.0,4.000497453846037,24.474102252266473
frozen_resnet18,Frozen ResNet-18,ood,color,Color,50,12,1800,3,4,79,0.04388888888888889,4.388888888888888,149,0.08277777777777778,8.277777777777779,671,0.37277777777777776,37.27777777777778,1758,0.9766666666666667,97.66666666666667,0.03178496412790587,0.03178496412790587,0.021204585358913473,0.01199762360372263,0.22637390336435703,0.22637390336435703,0.11903473880965075,0.06735024372477529,400.0,400.0,0.0,0.0,3.178496412790587,22.637390336435704
frozen_resnet18,Frozen ResNet-18,ood,color,Color,100,4,600,1,4,0,0.0,0.0,188,0.31333333333333335,31.333333333333336,261,0.435,43.5,600,1.0,100.0,0.024414798182745775,0.024414798182745775,0.01630471515994326,0.015978620856744397,0.23684682397792736,0.23684682397792736,0.1259556427532942,0.12343652989822833,400.0,400.0,0.0,0.0,2.4414798182745776,23.684682397792738
frozen_resnet18,Frozen ResNet-18,ood,color,Color,200,4,600,1,4,38,0.06333333333333334,6.333333333333334,79,0.13166666666666665,13.166666666666666,300,0.5,50.0,600,1.0,100.0,0.02501501186750829,0.025015011867508295,0.016077788034296155,0.01575623227361023,0.22388073311497766,0.22388073311497766,0.0968964287687252,0.0949585001933507,400.0,400.0,0.0,0.0,2.501501186750829,22.388073311497767
frozen_resnet18,Frozen ResNet-18,ood,lighting_direction_intensity,Lighting,5,12,1800,3,4,0,0.0,0.0,116,0.06444444444444444,6.444444444444445,442,0.24555555555555555,24.555555555555557,1249,0.6938888888888889,69.38888888888889,0.04803906927661349,0.04803906927661349,0.026692678730582283,0.015102804745484002,0.27144258642362223,0.27144258642362223,0.0765620220049479,0.04331904193397355,400.0,400.0,0.0,0.0,4.803906927661349,27.144258642362225
frozen_resnet18,Frozen ResNet-18,ood,lighting_direction_intensity,Lighting,20,12,1800,3,4,0,0.0,0.0,0,0.0,0.0,380,0.2111111111111111,21.11111111111111,1166,0.6477777777777778,64.77777777777777,0.0458529106537915,0.0458529106537915,0.020770443668138298,0.011751984818127852,0.3001769722584221,0.3001769722584221,0.08193212413562899,0.046357463246483564,400.0,400.0,0.0,0.0,4.58529106537915,30.01769722584221
frozen_resnet18,Frozen ResNet-18,ood,lighting_direction_intensity,Lighting,50,12,1800,3,4,42,0.023333333333333334,2.3333333333333335,166,0.09222222222222222,9.222222222222221,330,0.18333333333333332,18.333333333333332,1192,0.6622222222222223,66.22222222222223,0.03998435370210144,0.03998435370210144,0.01837112007778691,0.010394439699780707,0.26146653345268633,0.26146653345268633,0.07616777896848423,0.043095977937209685,400.0,400.0,0.0,0.0,3.998435370210144,26.146653345268632
frozen_resnet18,Frozen ResNet-18,ood,lighting_direction_intensity,Lighting,100,4,600,1,4,0,0.0,0.0,0,0.0,0.0,40,0.06666666666666667,6.666666666666667,465,0.775,77.5,0.042587381470948454,0.04258738147094846,0.01569126906630036,0.01537744368497435,0.2715178582072258,0.2715178582072258,0.09511915946780689,0.09321677627845075,400.0,400.0,0.0,0.0,4.258738147094846,27.15178582072258
