family,family_label,split,task,task_label,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
scratch_cnn,Scratch CNN,id,avoid_reach,Obstacle-aware reach,20,24,3600,3,8,0,0.0,0.0,305,0.08472222222222223,8.472222222222223,1881,0.5225,52.25,3127,0.8686111111111111,86.86111111111111,0.02956164370562571,0.02956164370562571,0.02120166065004332,0.008482430881067636,0.8026726858824905,0.8026726858824905,0.29545005735020885,0.1182046412140596,400.0,400.0,0.0,0.0,2.956164370562571,80.26726858824905
scratch_cnn,Scratch CNN,id,avoid_reach,Obstacle-aware reach,50,24,3600,3,8,6,0.0016666666666666668,0.16666666666666669,18,0.005,0.5,1515,0.42083333333333334,42.083333333333336,2958,0.8216666666666667,82.16666666666667,0.040352472669781286,0.04035247266978129,0.0452207674511039,0.018092074985269525,0.7293851264674838,0.7293851264674838,0.2965147975410188,0.11863062600949219,400.0,400.0,0.0,0.0,4.0352472669781285,72.93851264674838
scratch_cnn,Scratch CNN,id,avoid_reach,Obstacle-aware reach,100,8,1200,1,8,4,0.0033333333333333335,0.33333333333333337,18,0.015,1.5,656,0.5466666666666666,54.666666666666664,1123,0.9358333333333333,93.58333333333333,0.025568153522423625,0.025568153522423625,0.011541107896783276,0.007997579743096646,0.7896318937437414,0.7896318937437414,0.3646724393865907,0.25270510770605653,399.7875,399.7875,0.6010407640085614,0.4164999999999972,2.5568153522423627,78.96318937437414
scratch_cnn,Scratch CNN,id,avoid_reach,Obstacle-aware reach,200,8,1200,1,8,1,0.0008333333333333334,0.08333333333333334,3,0.0025,0.25,768,0.64,64.0,1178,0.9816666666666667,98.16666666666667,0.018960476670763456,0.018960476670763456,0.004942903291537749,0.003425257227471735,0.6689766815196102,0.6689766815196102,0.33227488516286774,0.2302547480263122,400.0,400.0,0.0,0.0,1.8960476670763455,66.89766815196101
scratch_cnn,Scratch CNN,id,reach,Reach,5,24,3600,3,8,305,0.08472222222222223,8.472222222222223,921,0.25583333333333336,25.583333333333336,2353,0.6536111111111111,65.36111111111111,3026,0.8405555555555555,84.05555555555554,0.029571016857905003,0.029571016857905003,0.03172083754718241,0.012690978146704755,0.26525588012766094,0.26525588012766094,0.08039966189768716,0.032166564033131305,400.0,400.0,0.0,0.0,2.9571016857905,26.525588012766093
scratch_cnn,Scratch CNN,id,reach,Reach,20,24,3600,3,8,317,0.08805555555555555,8.805555555555555,1656,0.46,46.0,2918,0.8105555555555556,81.05555555555556,3190,0.8861111111111111,88.61111111111111,0.022543618055852775,0.02254361805585278,0.025703507302716994,0.010283544656954439,0.13769907996968767,0.13769907996968767,0.08407085832971702,0.033635348507117864,399.92055555555555,399.9205555555556,0.38919670357555514,0.1557111111111134,2.2543618055852774,13.769907996968767
scratch_cnn,Scratch CNN,id,reach,Reach,50,24,3600,3,8,1855,0.5152777777777777,51.52777777777777,2818,0.7827777777777778,78.27777777777779,3114,0.865,86.5,3311,0.9197222222222222,91.97222222222223,0.013267810139093651,0.013267810139093651,0.01851095559037744,0.007405924655131597,0.060966439647988105,0.06096643964798811,0.061106865887037294,0.024447838063307775,388.4713888888889,388.4713888888889,56.120224930913245,22.452766170722942,1.3267810139093652,6.096643964798811
scratch_cnn,Scratch CNN,id,reach,Reach,100,8,1200,1,8,733,0.6108333333333333,61.083333333333336,1050,0.875,87.5,1112,0.9266666666666666,92.66666666666666,1149,0.9575,95.75,0.0095725919106917,0.0095725919106917,0.01634783137698164,0.011328469175870772,0.09276922255477985,0.09276922255477985,0.05226586858029572,0.03621839909577737,399.14666666666665,399.14666666666665,2.4135911464500777,1.67253333333333,0.9572591910691699,9.276922255477984
scratch_cnn,Scratch CNN,id,reach,Reach,200,8,1200,1,8,871,0.7258333333333333,72.58333333333333,1028,0.8566666666666667,85.66666666666667,1079,0.8991666666666667,89.91666666666667,1132,0.9433333333333334,94.33333333333334,0.010062039543675686,0.010062039543675686,0.019827906922404267,0.01374003849273639,0.042976989942908404,0.042976989942908404,0.060756118145142576,0.04210184187622133,330.22333333333336,330.22333333333336,127.60536999199387,88.4260099884141,1.0062039543675687,4.29769899429084
scratch_cnn,Scratch CNN,ood,avoid_reach,Obstacle-aware reach,5,24,3600,3,8,3,0.0008333333333333334,0.08333333333333334,475,0.13194444444444445,13.194444444444445,1565,0.43472222222222223,43.47222222222222,2899,0.8052777777777778,80.52777777777777,0.04569893407855286,0.04569893407855286,0.046574586262932406,0.018633715316485795,0.5161302994574524,0.5161302994574524,0.07955966780340222,0.03183049640319957,400.0,400.0,0.0,0.0,4.569893407855286,51.61302994574524
scratch_cnn,Scratch CNN,ood,avoid_reach,Obstacle-aware reach,20,24,3600,3,8,3,0.0008333333333333334,0.08333333333333334,318,0.08833333333333333,8.833333333333334,1656,0.46,46.0,2886,0.8016666666666666,80.16666666666666,0.044163144300756456,0.044163144300756456,0.042404721177697106,0.01696542182982378,0.7610531084477488,0.7610531084477489,0.2779853310538521,0.11121729545323082,400.0,400.0,0.0,0.0,4.416314430075645,76.10531084477488
scratch_cnn,Scratch CNN,ood,avoid_reach,Obstacle-aware reach,50,24,3600,3,8,24,0.006666666666666667,0.6666666666666667,153,0.0425,4.25,1418,0.3938888888888889,39.38888888888889,2746,0.7627777777777778,76.27777777777777,0.05249668208448889,0.052496682084488884,0.0537108334838272,0.021488808830178435,0.7107234229920949,0.7107234229920949,0.2786106844373654,0.11146748891399082,400.0,400.0,0.0,0.0,5.249668208448889,71.0723422992095
scratch_cnn,Scratch CNN,ood,avoid_reach,Obstacle-aware reach,100,8,1200,1,8,7,0.005833333333333334,0.5833333333333334,22,0.018333333333333333,1.8333333333333333,509,0.4241666666666667,42.41666666666667,926,0.7716666666666666,77.16666666666666,0.046634875942836516,0.046634875942836516,0.03853160979015432,0.026701043321199037,0.7115220522880554,0.7115220522880554,0.363577074536677,0.25194605859107405,400.0,400.0,0.0,0.0,4.663487594283652,71.15220522880554
