family,family_label,task,task_label,axis,axis_label,budget,baseline_config,diverse_config,baseline_success_at_1cm_pct,diverse_success_at_1cm_pct,gain_success_at_1cm_pct,baseline_success_at_5cm_pct,diverse_success_at_5cm_pct,gain_success_at_5cm_pct,baseline_nearest_distance_cm,diverse_nearest_distance_cm,gain_nearest_distance_cm
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,200,avoid_spatial_narrow,avoid_spatial_wide,0.6666666666666667,0.6666666666666667,0.0,27.333333333333332,68.66666666666667,41.33333333333334,10.841278851653138,5.53217065644761,-5.309108195205528
scratch_cnn,Scratch CNN,reach,Reach,camera_location_viewpoint,Camera viewpoint,5,camera_fixed,camera_multi_pose,33.33333333333333,66.66666666666666,33.33333333333333,100.0,100.0,0.0,1.472162239977883,1.5374028511966267,0.06524061121874358
scratch_cnn,Scratch CNN,reach,Reach,camera_location_viewpoint,Camera viewpoint,20,camera_fixed,camera_multi_pose,80.88888888888889,75.1111111111111,-5.777777777777786,100.0,100.0,0.0,0.7690376348586546,0.9035595709251033,0.1345219360664487
scratch_cnn,Scratch CNN,reach,Reach,camera_location_viewpoint,Camera viewpoint,50,camera_fixed,camera_multi_pose,100.0,100.0,0.0,100.0,100.0,0.0,0.3781284188476598,0.520828618409319,0.14270019956165925
scratch_cnn,Scratch CNN,reach,Reach,camera_location_viewpoint,Camera viewpoint,100,camera_fixed,camera_multi_pose,100.0,100.0,0.0,100.0,100.0,0.0,0.08581152711606894,0.15689544488365453,0.07108391776758559
scratch_cnn,Scratch CNN,reach,Reach,camera_location_viewpoint,Camera viewpoint,200,camera_fixed,camera_multi_pose,100.0,100.0,0.0,100.0,100.0,0.0,0.3260935771589478,0.4937083624924223,0.16761478533347446
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,5,avoid_camera_fixed,avoid_camera_multi_pose,33.33333333333333,0.0,-33.33333333333333,100.0,100.0,0.0,1.2674426066999633,2.241095784223742,0.9736531775237787
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,20,avoid_camera_fixed,avoid_camera_multi_pose,33.33333333333333,33.33333333333333,0.0,100.0,100.0,0.0,1.6588663627497022,1.600372447632253,-0.05849391511744928
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,50,avoid_camera_fixed,avoid_camera_multi_pose,31.77777777777778,0.0,-31.77777777777778,99.33333333333333,66.66666666666666,-32.66666666666667,2.0126163268772266,8.528800978842709,6.516184651965482
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,100,avoid_camera_fixed,avoid_camera_multi_pose,0.0,0.0,0.0,99.33333333333333,100.0,0.6666666666666714,2.4198926351964474,1.7197198097904522,-0.7001728254059951
scratch_cnn,Scratch CNN,avoid_reach,Obstacle-aware reach,camera_location_viewpoint,Camera viewpoint,200,avoid_camera_fixed,avoid_camera_multi_pose,46.666666666666664,0.0,-46.666666666666664,99.33333333333333,100.0,0.6666666666666714,1.3921954584463188,2.1939020678400993,0.8017066093937806
scratch_cnn,Scratch CNN,reach,Reach,lighting_direction_intensity,Lighting,5,lighting_fixed,lighting_diverse,0.0,39.111111111111114,39.111111111111114,100.0,100.0,0.0,2.785946696582768,1.1492649585836463,-1.6366817379991216
