family,family_label,split,task,task_label,axis,axis_label,train_config,variant,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,avoid_lighting_diverse,diverse_train,50,3,450,3,1,0,0.0,0.0,0,0.0,0.0,63,0.14,14.000000000000002,450,1.0,100.0,0.030363586309055487,0.030363586309055487,0.009010089438776694,0.010195876023284645,0.14805867076747947,0.14805867076747947,0.025816441115988555,0.029214053286554867,400.0,400.0,0.0,0.0,3.0363586309055486,14.805867076747948
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,avoid_lighting_diverse,diverse_train,100,1,150,1,1,0,0.0,0.0,31,0.20666666666666667,20.666666666666668,84,0.56,56.00000000000001,150,1.0,100.0,0.019320150973896187,0.019320150973896187,0.0,0.0,0.16341631809870402,0.16341631809870402,0.0,0.0,400.0,400.0,0.0,0.0,1.9320150973896186,16.341631809870403
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,avoid_lighting_diverse,diverse_train,200,1,150,1,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,150,1.0,100.0,0.030749379619956017,0.030749379619956017,0.0,0.0,0.10604320019483567,0.10604320019483567,0.0,0.0,400.0,400.0,0.0,0.0,3.0749379619956017,10.604320019483566
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,avoid_lighting_fixed,fixed_train,5,3,450,3,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,450,1.0,100.0,0.027319084852933884,0.027319084852933884,0.001811964080229472,0.00205043038098554,0.16163612405459085,0.16163612405459085,0.04535431494072941,0.05132323884228474,400.0,400.0,0.0,0.0,2.7319084852933884,16.163612405459084
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,avoid_lighting_fixed,fixed_train,20,3,450,3,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,450,1.0,100.0,0.03788560380538305,0.03788560380538305,0.004181465033202112,0.004731773126551444,0.0887783740957578,0.0887783740957578,0.04104528704099633,0.04644711474328599,400.0,400.0,0.0,0.0,3.788560380538305,8.877837409575779
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,avoid_lighting_fixed,fixed_train,50,3,450,3,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,450,1.0,100.0,0.035008929669857025,0.035008929669857025,0.005355141527206773,0.006059913108471493,0.13114557166894278,0.13114557166894278,0.004808268738874431,0.005441068291421422,400.0,400.0,0.0,0.0,3.5008929669857025,13.114557166894278
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,avoid_lighting_fixed,fixed_train,100,1,150,1,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,150,1.0,100.0,0.029623592272400856,0.029623592272400856,0.0,0.0,0.09910475462675095,0.09910475462675095,0.0,0.0,400.0,400.0,0.0,0.0,2.9623592272400856,9.910475462675095
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,lighting_direction_intensity,Lighting,avoid_lighting_fixed,fixed_train,200,1,150,1,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,150,1.0,100.0,0.03221552073955536,0.03221552073955536,0.0,0.0,0.10440917313098907,0.10440917313098907,0.0,0.0,400.0,400.0,0.0,0.0,3.221552073955536,10.440917313098907
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,avoid_spatial_narrow,narrow_train,5,3,450,3,1,0,0.0,0.0,4,0.008888888888888889,0.8888888888888888,21,0.04666666666666667,4.666666666666667,133,0.29555555555555557,29.555555555555557,0.08104953642003238,0.08104953642003238,0.013770756591707135,0.015583078049327178,0.23591254639128845,0.23591254639128845,0.04327124048742778,0.04896601819342751,400.0,400.0,0.0,0.0,8.104953642003238,23.591254639128845
frozen_resnet18,Frozen ResNet-18,id,avoid_reach,Obstacle-aware reach,spatial_distribution,Spatial distribution,avoid_spatial_narrow,narrow_train,20,3,450,3,1,2,0.0044444444444444444,0.4444444444444444,3,0.006666666666666667,0.6666666666666667,15,0.03333333333333333,3.3333333333333335,118,0.26222222222222225,26.222222222222225,0.10591248498349969,0.10591248498349969,0.043410568314977145,0.04912368247256032,0.2552887099567387,0.2552887099567387,0.0531454713597286,0.06013976230366776,400.0,400.0,0.0,0.0,10.591248498349968,25.52887099567387
