family,family_label,axis,axis_label,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
partial_resnet18,Partial ResNet-18,camera_location_viewpoint,Camera viewpoint,5,12,1800,3,4,6,0.0033333333333333335,0.33333333333333337,20,0.011111111111111112,1.1111111111111112,57,0.03166666666666667,3.166666666666667,326,0.1811111111111111,18.11111111111111,0.09546681701865357,0.09546681701865357,0.03165320328376902,0.01790948572786603,0.27673782270298236,0.27673782270298236,0.06996661849983625,0.03958734110466494,400.0,400.0,0.0,0.0,9.546681701865358,27.673782270298236
partial_resnet18,Partial ResNet-18,camera_location_viewpoint,Camera viewpoint,20,12,1800,3,4,19,0.010555555555555556,1.0555555555555556,46,0.025555555555555557,2.555555555555556,123,0.06833333333333333,6.833333333333333,631,0.35055555555555556,35.05555555555556,0.07837583137973625,0.07837583137973626,0.04224823485171359,0.023904189169134903,0.24845496523983052,0.24845496523983054,0.06924399916252642,0.039178480725125836,400.0,400.0,0.0,0.0,7.837583137973625,24.84549652398305
partial_resnet18,Partial ResNet-18,camera_location_viewpoint,Camera viewpoint,50,12,1800,3,4,24,0.013333333333333334,1.3333333333333335,85,0.04722222222222222,4.722222222222222,259,0.1438888888888889,14.38888888888889,1008,0.56,56.00000000000001,0.055177477967808954,0.055177477967808954,0.03236146093280677,0.01831022021730704,0.23575744656276787,0.23575744656276787,0.09685533595193749,0.054801065198616696,399.93944444444446,399.93944444444446,0.20977059780557014,0.11868888888889235,5.517747796780895,23.575744656276786
partial_resnet18,Partial ResNet-18,camera_location_viewpoint,Camera viewpoint,100,4,600,1,4,53,0.08833333333333333,8.833333333333334,92,0.15333333333333332,15.333333333333332,171,0.285,28.499999999999996,236,0.3933333333333333,39.33333333333333,0.07768941371847177,0.07768941371847177,0.066973140061368,0.06563367726014063,0.4446691692210152,0.4446691692210152,0.32387920716590396,0.3174016230225859,398.92,398.92,2.1599999999999966,2.1167999999999965,7.768941371847177,44.46691692210152
partial_resnet18,Partial ResNet-18,camera_location_viewpoint,Camera viewpoint,200,4,600,1,4,0,0.0,0.0,6,0.01,1.0,257,0.42833333333333334,42.833333333333336,457,0.7616666666666667,76.16666666666667,0.04641218213830143,0.04641218213830143,0.050243508972403546,0.04923863879295547,0.21815779076889158,0.21815779076889158,0.07391152174110213,0.07243329130628008,400.0,400.0,0.0,0.0,4.641218213830143,21.815779076889157
partial_resnet18,Partial ResNet-18,color,Color,5,12,1800,3,4,0,0.0,0.0,0,0.0,0.0,39,0.021666666666666667,2.166666666666667,644,0.35777777777777775,35.77777777777777,0.08057426390031146,0.08057426390031146,0.056616082186041396,0.03203356408476152,0.3291585459291107,0.3291585459291107,0.20286352415129377,0.1147808440719555,400.0,400.0,0.0,0.0,8.057426390031146,32.91585459291107
partial_resnet18,Partial ResNet-18,color,Color,20,12,1800,3,4,0,0.0,0.0,0,0.0,0.0,71,0.03944444444444444,3.944444444444444,660,0.36666666666666664,36.666666666666664,0.08397969947506984,0.08397969947506984,0.0547473126202647,0.030976208165144053,0.329955160199768,0.329955160199768,0.19641656750158304,0.11113313495793443,400.0,400.0,0.0,0.0,8.397969947506983,32.9955160199768
partial_resnet18,Partial ResNet-18,color,Color,50,12,1800,3,4,76,0.042222222222222223,4.222222222222222,154,0.08555555555555555,8.555555555555555,404,0.22444444444444445,22.444444444444443,1060,0.5888888888888889,58.88888888888889,0.043564956742597534,0.043564956742597534,0.020625409662043223,0.011669924104116425,0.27760922878152794,0.27760922878152794,0.10241583751699088,0.05794721513252135,400.0,400.0,0.0,0.0,4.356495674259754,27.760922878152794
partial_resnet18,Partial ResNet-18,color,Color,100,4,600,1,4,0,0.0,0.0,0,0.0,0.0,73,0.12166666666666667,12.166666666666668,561,0.935,93.5,0.029862839460062483,0.029862839460062483,0.013359203552578174,0.01309201948152661,0.2304198828805238,0.23041988288052379,0.13340110916179054,0.13073308697855474,400.0,400.0,0.0,0.0,2.9862839460062482,23.04198828805238
partial_resnet18,Partial ResNet-18,color,Color,200,4,600,1,4,182,0.30333333333333334,30.333333333333336,262,0.43666666666666665,43.666666666666664,262,0.43666666666666665,43.666666666666664,300,0.5,50.0,0.04698917955043726,0.04698917955043726,0.04600454349974349,0.04508445262974862,0.29867438750031094,0.29867438750031094,0.36948004386202066,0.3620904429847802,400.0,400.0,0.0,0.0,4.698917955043726,29.867438750031095
