family,family_label,split,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
partial_resnet18,Partial ResNet-18,id,5,48,7200,3,16,45,0.00625,0.625,111,0.015416666666666667,1.5416666666666667,473,0.06569444444444444,6.569444444444445,1930,0.26805555555555555,26.805555555555554,0.08291810528499709,0.08291810528499709,0.04381570991130288,0.012395535836892384,0.2954771597153093,0.29547715971530936,0.1881595385827222,0.05323064052315192,400.0,400.0,0.0,0.0,8.291810528499708,29.54771597153093
partial_resnet18,Partial ResNet-18,id,20,48,7200,3,16,30,0.004166666666666667,0.4166666666666667,118,0.01638888888888889,1.638888888888889,487,0.06763888888888889,6.763888888888888,3038,0.42194444444444446,42.19444444444444,0.0708935235927331,0.07089352359273308,0.040508979131316035,0.0114600563029705,0.25971393892765465,0.25971393892765465,0.1771353989117581,0.05011189341991049,399.9530555555556,399.9530555555555,0.29278788207989004,0.08283016964179962,7.08935235927331,25.971393892765466
partial_resnet18,Partial ResNet-18,id,50,48,7200,3,16,66,0.009166666666666667,0.9166666666666666,389,0.05402777777777778,5.402777777777778,1288,0.17888888888888888,17.888888888888886,4390,0.6097222222222223,60.97222222222223,0.04571133492837867,0.04571133492837867,0.022611447765337404,0.006396815472501509,0.2603762807680889,0.2603762807680889,0.11500081364165889,0.0325339178493885,400.0,400.0,0.0,0.0,4.571133492837867,26.03762807680889
partial_resnet18,Partial ResNet-18,id,100,16,2400,1,16,39,0.01625,1.625,170,0.07083333333333333,7.083333333333333,990,0.4125,41.25,2025,0.84375,84.375,0.03251960546413708,0.03251960546413708,0.02235804984261018,0.010955444422878989,0.25597072273832355,0.25597072273832355,0.20581360403225185,0.1008486659758034,399.81666666666666,399.81666666666666,0.7333333333333343,0.3593333333333338,3.2519605464137085,25.597072273832357
partial_resnet18,Partial ResNet-18,id,200,16,2400,1,16,542,0.22583333333333333,22.583333333333332,846,0.3525,35.25,1315,0.5479166666666667,54.79166666666667,1606,0.6691666666666667,66.91666666666667,0.05650118466146523,0.05650118466146523,0.09099399287628712,0.04458705650938069,0.29683843137250127,0.29683843137250127,0.3144048795922348,0.15405839100019506,400.0,400.0,0.0,0.0,5.650118466146523,29.683843137250125
partial_resnet18,Partial ResNet-18,ood,5,48,7200,3,16,6,0.0008333333333333334,0.08333333333333334,27,0.00375,0.375,245,0.034027777777777775,3.4027777777777777,1618,0.2247222222222222,22.47222222222222,0.1081616923584564,0.1081616923584564,0.04909565830719275,0.013889241854452814,0.3046759402151737,0.3046759402151737,0.14074658813239332,0.03981743946742175,400.0,400.0,0.0,0.0,10.816169235845638,30.467594021517368
partial_resnet18,Partial ResNet-18,ood,20,48,7200,3,16,20,0.002777777777777778,0.2777777777777778,97,0.013472222222222222,1.3472222222222223,371,0.051527777777777777,5.152777777777778,2378,0.3302777777777778,33.02777777777778,0.09261549004069013,0.09261549004069013,0.04573324920627797,0.012938010832678804,0.279263692614008,0.279263692614008,0.14240510432229772,0.040286636404083115,400.0,400.0,0.0,0.0,9.261549004069012,27.9263692614008
partial_resnet18,Partial ResNet-18,ood,50,48,7200,3,16,114,0.015833333333333335,1.5833333333333335,334,0.04638888888888889,4.638888888888889,1063,0.14763888888888888,14.763888888888888,3739,0.5193055555555556,51.93055555555556,0.06222219573438148,0.06222219573438148,0.03526234454296871,0.009975774815928757,0.2649506354269801,0.2649506354269801,0.11478059844478293,0.03247161861082246,399.96680555555554,399.96680555555554,0.16152634596651178,0.04569606686924128,6.222219573438148,26.49506354269801
partial_resnet18,Partial ResNet-18,ood,100,16,2400,1,16,57,0.02375,2.375,209,0.08708333333333333,8.708333333333334,535,0.22291666666666668,22.291666666666668,1476,0.615,61.5,0.05675952000730225,0.05675952000730224,0.04418155461950377,0.021648961763556848,0.28036921881321175,0.28036921881321175,0.19727098249019182,0.096662781420194,399.73,399.73,1.0799999999999983,0.5291999999999991,5.675952000730225,28.036921881321174
partial_resnet18,Partial ResNet-18,ood,200,16,2400,1,16,301,0.12541666666666668,12.541666666666668,456,0.19,19.0,840,0.35,35.0,1338,0.5575,55.75,0.07563001465576236,0.07563001465576236,0.09250955355920157,0.04532968124400877,0.26465443606420497,0.26465443606420497,0.27361513906734336,0.13407141814299825,400.0,400.0,0.0,0.0,7.563001465576235,26.465443606420497
