family,family_label,task,task_label,budget,metric_file_count,rollout_count,seed_count,train_config_count,success_at_0p5cm_count,success_at_0p5cm,success_at_0p5cm_pct,success_at_1cm_count,success_at_1cm,success_at_1cm_pct,success_at_2cm_count,success_at_2cm,success_at_2cm_pct,success_at_5cm_count,success_at_5cm,success_at_5cm_pct,nearest_distance_m,nearest_distance_m_file_mean,nearest_distance_m_file_std,nearest_distance_m_file_ci95,end_distance_m,end_distance_m_file_mean,end_distance_m_file_std,end_distance_m_file_ci95,mean_steps,mean_steps_file_mean,mean_steps_file_std,mean_steps_file_ci95,nearest_distance_cm,end_distance_cm
partial_resnet18,Partial ResNet-18,avoid_reach,Obstacle-aware reach,5,24,3600,3,8,0,0.0,0.0,2,0.0005555555555555556,0.05555555555555555,52,0.014444444444444444,1.4444444444444444,538,0.14944444444444444,14.944444444444443,0.12575057993979297,0.12575057993979297,0.050820947702221245,0.020332613718801507,0.34061150678226515,0.3406115067822652,0.1731364680784392,0.06926901376777451,400.0,400.0,0.0,0.0,12.575057993979296,34.06115067822652
partial_resnet18,Partial ResNet-18,avoid_reach,Obstacle-aware reach,20,24,3600,3,8,7,0.0019444444444444444,0.19444444444444445,21,0.005833333333333334,0.5833333333333334,135,0.0375,3.75,1085,0.3013888888888889,30.138888888888886,0.10796924645055292,0.10796924645055293,0.051434469190936596,0.020578073435753776,0.28739695913054875,0.2873969591305488,0.15598568185049813,0.06240727019325977,400.0,400.0,0.0,0.0,10.796924645055292,28.739695913054874
partial_resnet18,Partial ResNet-18,avoid_reach,Obstacle-aware reach,50,24,3600,3,8,86,0.02388888888888889,2.388888888888889,167,0.04638888888888889,4.638888888888889,428,0.11888888888888889,11.88888888888889,1932,0.5366666666666666,53.666666666666664,0.06540777426588142,0.06540777426588142,0.038866624457705445,0.015549888331140032,0.306408901356885,0.306408901356885,0.10663961834795693,0.042664733048546774,400.0,400.0,0.0,0.0,6.540777426588142,30.640890135688498
partial_resnet18,Partial ResNet-18,avoid_reach,Obstacle-aware reach,100,8,1200,1,8,1,0.0008333333333333334,0.08333333333333334,4,0.0033333333333333335,0.33333333333333337,91,0.07583333333333334,7.583333333333334,611,0.5091666666666667,50.916666666666664,0.07600025379933262,0.07600025379933262,0.052040831154815656,0.03606245611599121,0.3865951575369885,0.3865951575369885,0.21865022323565145,0.1515168744467239,400.0,400.0,0.0,0.0,7.600025379933262,38.65951575369885
partial_resnet18,Partial ResNet-18,avoid_reach,Obstacle-aware reach,200,8,1200,1,8,1,0.0008333333333333334,0.08333333333333334,9,0.0075,0.75,156,0.13,13.0,268,0.22333333333333333,22.333333333333332,0.12511574023597252,0.12511574023597252,0.11008097475135546,0.0762822236517824,0.4261071426514536,0.4261071426514536,0.3115757796658306,0.21591099972209052,400.0,400.0,0.0,0.0,12.511574023597252,42.61071426514536
partial_resnet18,Partial ResNet-18,reach,Reach,5,24,3600,3,8,6,0.0016666666666666668,0.16666666666666669,25,0.006944444444444444,0.6944444444444444,193,0.05361111111111111,5.361111111111111,1080,0.3,30.0,0.09057280477711982,0.09057280477711982,0.041196581310853464,0.01648206521524923,0.26874037364808223,0.26874037364808223,0.08836985977605097,0.03535530729846202,400.0,400.0,0.0,0.0,9.057280477711982,26.874037364808224
partial_resnet18,Partial ResNet-18,reach,Reach,20,24,3600,3,8,13,0.003611111111111111,0.3611111111111111,76,0.021111111111111112,2.111111111111111,236,0.06555555555555556,6.555555555555556,1293,0.3591666666666667,35.91666666666667,0.07726173363082732,0.07726173363082732,0.03371226811561138,0.013487716309340588,0.27113042609746724,0.27113042609746724,0.13027105301000289,0.052119275994495735,400.0,400.0,0.0,0.0,7.726173363082732,27.113042609746724
partial_resnet18,Partial ResNet-18,reach,Reach,50,24,3600,3,8,28,0.0077777777777777776,0.7777777777777778,167,0.04638888888888889,4.638888888888889,635,0.1763888888888889,17.63888888888889,1807,0.5019444444444444,50.19444444444444,0.059036617202881544,0.05903661720288154,0.03176689223523697,0.012709403859417552,0.22349236949707524,0.22349236949707527,0.10937520741427083,0.043759196617086375,399.93361111111113,399.9336111111111,0.22586798047859014,0.09036601256289142,5.903661720288154,22.349236949707525
partial_resnet18,Partial ResNet-18,reach,Reach,100,8,1200,1,8,56,0.04666666666666667,4.666666666666667,205,0.17083333333333334,17.083333333333332,444,0.37,37.0,865,0.7208333333333333,72.08333333333333,0.037518786215271875,0.037518786215271875,0.02506880927214487,0.017371798531953718,0.17414328008943508,0.17414328008943508,0.09895090140260845,0.06856947631857978,399.46,399.46,1.5273506473629404,1.0583999999999982,3.7518786215271875,17.414328008943507
partial_resnet18,Partial ResNet-18,reach,Reach,200,8,1200,1,8,300,0.25,25.0,447,0.3725,37.25,684,0.57,56.99999999999999,1070,0.8916666666666667,89.16666666666667,0.026144289075552177,0.026144289075552177,0.02496890323463487,0.017302567180081017,0.10320172947695634,0.10320172947695634,0.061354678657856626,0.04251662314976212,400.0,400.0,0.0,0.0,2.614428907555218,10.320172947695633
