metrics_path,split,train_config,task,axis,variant,budget,seed,eval_config,rollout_count,success_rate_at_0p5cm,success_rate_at_1cm,success_rate_at_2cm,success_rate_at_5cm,mean_best_distance,mean_final_distance,mean_steps,mean_success_steps
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__lighting_diverse__budget020__seed002__eval_lighting_extreme_ood_eval.json,ood,lighting_diverse,reach,lighting_direction_intensity,diverse_train,20,2,lighting_extreme_ood_eval,150,0.5866666666666667,0.5866666666666667,1.0,1.0,0.005751820591588815,0.021959327881534894,400.0,74.22666666666667
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__lighting_fixed__budget005__seed002__eval_lighting_extreme_ood_eval.json,ood,lighting_fixed,reach,lighting_direction_intensity,fixed_train,5,2,lighting_extreme_ood_eval,150,0.0,0.0,0.5866666666666667,1.0,0.01966932845612367,0.25447205066680906,400.0,78.41333333333333
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__avoid_spatial_narrow__budget020__seed000__eval_avoid_spatial_edge_ood_eval.json,ood,avoid_spatial_narrow,avoid_reach,spatial_distribution,narrow_train,20,0,avoid_spatial_edge_ood_eval,150,0.0,0.03333333333333333,0.07333333333333333,0.22666666666666666,0.13204093292976418,0.3239188732703527,400.0,155.97058823529412
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__camera_fixed__budget020__seed002__eval_camera_extreme_ood_eval.json,ood,camera_fixed,reach,camera_location_viewpoint,fixed_train,20,2,camera_extreme_ood_eval,150,0.0,0.4266666666666667,1.0,1.0,0.01001227849473556,0.02305184313406547,400.0,79.0
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__avoid_lighting_diverse__budget050__seed002__eval_avoid_lighting_extreme_ood_eval.json,ood,avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,50,2,avoid_lighting_extreme_ood_eval,150,0.0,0.0,0.0,1.0,0.02179141250749429,0.6848760064442952,400.0,149.48666666666668
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__spatial_wide__budget005__seed002__eval_spatial_edge_ood_eval.json,ood,spatial_wide,reach,spatial_distribution,wide_train,5,2,spatial_edge_ood_eval,150,0.0,0.0,0.0,0.12,0.1381099489082893,0.5003749716281891,400.0,99.38888888888889
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__avoid_color_multi__budget050__seed001__eval_avoid_color_ood_eval.json,ood,avoid_color_multi,avoid_reach,color,diverse_train,50,1,avoid_color_ood_eval,150,0.0,0.0,1.0,1.0,0.015209456166873376,0.9749394889672597,400.0,137.30666666666667
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__lighting_diverse__budget005__seed001__eval_lighting_extreme_ood_eval.json,ood,lighting_diverse,reach,lighting_direction_intensity,diverse_train,5,1,lighting_extreme_ood_eval,150,0.0,0.5866666666666667,1.0,1.0,0.009699651263654232,0.20202206681172052,400.0,78.48
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__camera_multi_pose__budget020__seed000__eval_camera_extreme_ood_eval.json,ood,camera_multi_pose,reach,camera_location_viewpoint,diverse_train,20,0,camera_extreme_ood_eval,150,0.0,1.0,1.0,1.0,0.006949001482377449,0.1703321890036265,400.0,78.0
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__camera_multi_pose__budget050__seed001__eval_camera_extreme_ood_eval.json,ood,camera_multi_pose,reach,camera_location_viewpoint,diverse_train,50,1,camera_extreme_ood_eval,150,0.43333333333333335,1.0,1.0,1.0,0.004982469553748766,0.022236722745001315,400.0,78.93333333333334
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__avoid_lighting_diverse__budget005__seed001__eval_avoid_lighting_extreme_ood_eval.json,ood,avoid_lighting_diverse,avoid_reach,lighting_direction_intensity,diverse_train,5,1,avoid_lighting_extreme_ood_eval,150,0.0,0.0,0.0,1.0,0.026964635315040748,0.5154277896881103,400.0,149.48666666666668
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__color_multi__budget050__seed001__eval_color_ood_eval.json,ood,color_multi,reach,color,diverse_train,50,1,color_ood_eval,150,0.7866666666666666,1.0,1.0,1.0,0.0041168465030690035,0.052494954926272236,400.0,77.3
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__avoid_color_multi__budget005__seed001__eval_avoid_color_ood_eval.json,ood,avoid_color_multi,avoid_reach,color,diverse_train,5,1,avoid_color_ood_eval,150,0.0,0.0,0.0,1.0,0.026247444252173107,0.5445195066928864,400.0,145.0
results/bc_128px_v1/metrics/ood/metrics__scratch_bc_128__lighting_fixed__budget020__seed001__eval_lighting_extreme_ood_eval.json,ood,lighting_fixed,reach,lighting_direction_intensity,fixed_train,20,1,lighting_extreme_ood_eval,150,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.8133333333333334,0.03468232429896792,0.16061068058013916,400.0,77.93442622950819
