split,budget,axis,task,train_config,variant,eval_config,n_models,rollouts_total,success_rate_at_0p5cm_mean,success_rate_at_0p5cm_std,success_rate_at_0p5cm_ci95,success_rate_at_1cm_mean,success_rate_at_1cm_std,success_rate_at_1cm_ci95,success_rate_at_2cm_mean,success_rate_at_2cm_std,success_rate_at_2cm_ci95,success_rate_at_5cm_mean,success_rate_at_5cm_std,success_rate_at_5cm_ci95,mean_best_distance_mean,mean_best_distance_std,mean_best_distance_ci95,mean_final_distance_mean,mean_final_distance_std,mean_final_distance_ci95,mean_steps_mean,mean_steps_std,mean_steps_ci95,mean_success_steps_mean,mean_success_steps_std,mean_success_steps_ci95
id,5,lighting_direction_intensity,reach,lighting_diverse,diverse_train,lighting_diverse,3,450,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.017607405618247057,0.004361003894187828,0.004934940473602844,0.24883143699003588,0.021250343399894615,0.02404702730531024,400.0,0.0,0.0,80.55555555555556,4.311892254546121,4.879365421602577
id,5,lighting_direction_intensity,reach,lighting_fixed,fixed_train,lighting_fixed,3,450,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.016426455850402515,0.0029457486069595362,0.0033334283523383844,0.1819058128943046,0.1364478789344484,0.15440531048098824,400.0,0.0,0.0,81.33333333333333,3.0550504633038935,3.457115046457732
id,5,spatial_distribution,avoid_reach,avoid_spatial_narrow,narrow_train,avoid_spatial_narrow,3,450,0.008888888888888889,0.015396007178390021,0.017422222222222224,0.022222222222222223,0.03849001794597505,0.043555555555555556,0.08666666666666667,0.07512951779723097,0.08501705275566344,0.41111111111111115,0.21810632813004388,0.24681054462536972,0.06974232405152482,0.021414253351951035,0.024232508876997804,0.48747524282830357,0.020139786127322232,0.022790313446380727,399.3866666666667,1.062324495308897,1.202133333333317,134.52983785220627,19.236163429643497,21.767768103189404
id,5,spatial_distribution,avoid_reach,avoid_spatial_wide,wide_train,avoid_spatial_wide,3,450,0.0044444444444444444,0.007698003589195011,0.008711111111111112,0.03333333333333333,0.03711842908553348,0.042003456647880424,0.12,0.08666666666666667,0.09807256572634443,0.37333333333333335,0.06359594676112973,0.07196558848453842,0.08244129105160634,0.003550689069434169,0.0040179829284911,0.2839478238444361,0.08924438472614704,0.10098952830879492,400.0,0.0,0.0,183.02819926069355,14.282149135906414,16.16177319051502
id,5,spatial_distribution,reach,spatial_narrow,narrow_train,spatial_narrow,3,450,0.008888888888888889,0.010183501544346312,0.011523716821525774,0.04222222222222222,0.036717136981907345,0.041549351883938074,0.18444444444444444,0.09828153061109325,0.11121602158317895,0.5533333333333333,0.00666666666666671,0.007544043517411159,0.04885123003429423,0.005454367911749189,0.006172198332930996,0.22545777804321712,0.05863668288420225,0.06635365310925855,400.0,0.0,0.0,96.56394101376469,11.873102530927582,13.43568032700025
id,5,spatial_distribution,reach,spatial_wide,wide_train,spatial_wide,3,450,0.0022222222222222222,0.0038490017945975053,0.004355555555555556,0.0044444444444444444,0.007698003589195011,0.008711111111111112,0.044444444444444446,0.03906310184721543,0.044204061039068335,0.1711111111111111,0.03150543750835072,0.03565175873971111,0.10395063804152112,0.005069607965351711,0.005736801466024096,0.3268557822331786,0.15474308807491727,0.1751082885683634,400.0,0.0,0.0,124.47315900944933,17.769669165596117,20.10827362128832
id,20,camera_location_viewpoint,avoid_reach,avoid_camera_fixed,fixed_train,avoid_camera_fixed,3,450,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.017184291190157335,0.011795139830443283,0.013347457226221986,1.0079928636550903,0.2004891110052315,0.22687478672857997,400.0,0.0,0.0,159.0,18.0,20.36891749701
id,20,camera_location_viewpoint,avoid_reach,avoid_camera_multi_pose,diverse_train,avoid_camera_multi_pose,3,450,0.0,0.0,0.0,0.3333333333333333,0.5773502691896257,0.6533333333333333,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,0.016003763870232637,0.009373717260341226,0.010607359639788278,1.0884041062990824,0.029374702944322338,0.0332406055984488,400.0,0.0,0.0,146.66666666666666,4.509249752822894,5.102696454925681
id,20,camera_location_viewpoint,reach,camera_fixed,fixed_train,camera_fixed,3,450,0.0,0.0,0.0,0.6666666666666666,0.5773502691896257,0.6533333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.008040764834731817,0.0017491543074350476,0.0019793544320935636,0.024909262855847675,0.004503589727000302,0.0050962915327583845,400.0,0.0,0.0,78.66666666666667,0.5773502691896257,0.6533333333333333
id,20,camera_location_viewpoint,reach,camera_multi_pose,diverse_train,camera_multi_pose,3,450,0.0,0.0,0.0,0.688888888888889,0.5388602512436507,0.6097777777777778,1.0,0.0,0.0,1.0,0.0,0.0,0.009111653248675996,0.0019048894188110452,0.0021555853007049724,0.1374965661805537,0.09971425179352207,0.1128372982254629,400.0,0.0,0.0,77.98222222222222,0.03079201435677665,0.03484444444444061
