budget,axis,task,train_config,variant,id_success_rate_at_1cm,ood_success_rate_at_1cm,id_minus_ood_success_rate_at_1cm,id_success_rate_at_2cm,ood_success_rate_at_2cm,id_minus_ood_success_rate_at_2cm,id_success_rate_at_5cm,ood_success_rate_at_5cm,id_minus_ood_success_rate_at_5cm,id_mean_best_distance,ood_mean_best_distance,id_minus_ood_mean_best_distance,id_mean_final_distance,ood_mean_final_distance,id_minus_ood_mean_final_distance
20,spatial_distribution,avoid_reach,avoid_spatial_wide,wide_train,0.011111111111111112,0.022222222222222223,-0.011111111111111112,0.14666666666666667,0.12666666666666668,0.01999999999999999,0.48666666666666664,0.36000000000000004,0.1266666666666666,0.06585250249649915,0.09271747040614071,-0.02686496790964156,0.49002262069947183,0.5296000512358215,-0.03957743053634971
20,camera_location_viewpoint,reach,camera_fixed,fixed_train,0.6666666666666666,0.8088888888888889,-0.14222222222222225,1.0,1.0,0.0,1.0,1.0,0.0,0.008040764834731817,0.007690376348586546,0.00035038848614527083,0.024909262855847675,0.06199102584272623,-0.037081762986878555
20,camera_location_viewpoint,reach,camera_multi_pose,diverse_train,0.688888888888889,0.7511111111111112,-0.06222222222222218,1.0,1.0,0.0,1.0,1.0,0.0,0.009111653248675996,0.009035595709251033,7.60575394249622e-05,0.1374965661805537,0.13744247033364243,5.409584691126734e-05
20,color,reach,color_multi,diverse_train,0.5977777777777779,0.6666666666666666,-0.06888888888888878,0.9044444444444445,1.0,-0.0955555555555555,1.0,1.0,0.0,0.011112298101393714,0.010957166483211848,0.00015513161818186613,0.2188079038924641,0.2186436988910039,0.00016420500146019368
20,color,reach,color_red_only,fixed_train,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.0,0.008247703469047943,0.012302076306401026,-0.004054372837353083,0.07379141201575597,0.12204194270074369,-0.04825053068498772
20,lighting_direction_intensity,reach,lighting_diverse,diverse_train,0.62,0.4711111111111111,0.1488888888888889,1.0,0.8044444444444444,0.1955555555555556,1.0,1.0,0.0,0.01027470915267865,0.012532912743174368,-0.0022582035904957186,0.09046705743918816,0.08464052817059887,0.005826529268589287
20,lighting_direction_intensity,reach,lighting_fixed,fixed_train,0.3333333333333333,0.39111111111111113,-0.05777777777777782,1.0,0.5866666666666667,0.41333333333333333,1.0,0.9377777777777778,0.06222222222222218,0.010770913368711868,0.02176122805931502,-0.01099031469060315,0.19954334696133932,0.16132432091567253,0.03821902604566679
20,spatial_distribution,reach,spatial_narrow,narrow_train,0.044444444444444446,0.013333333333333334,0.03111111111111111,0.34,0.07333333333333333,0.2666666666666667,0.6244444444444445,0.14666666666666667,0.4777777777777778,0.04487996587879025,0.13334453339378038,-0.08846456751499013,0.1392885985043055,0.2694148187732531,-0.13012622026894757
20,spatial_distribution,reach,spatial_wide,wide_train,0.06222222222222223,0.03777777777777778,0.02444444444444445,0.24,0.1311111111111111,0.1088888888888889,0.46444444444444444,0.29777777777777775,0.16666666666666669,0.077910936392792,0.1090566855803546,-0.031145749187562605,0.21728849190804692,0.2734776044981037,-0.056189112590056794
50,camera_location_viewpoint,avoid_reach,avoid_camera_fixed,fixed_train,0.0,0.31777777777777777,-0.31777777777777777,1.0,0.6022222222222223,0.3977777777777777,1.0,0.9933333333333333,0.00666666666666671,0.016983421829839546,0.020126163268772264,-0.0031427414389327175,0.8760658502578735,0.8589353941546546,0.01713045610321895
