budget,task,axis,baseline_config,diversity_config,baseline_success_rate_at_1cm,diverse_success_rate_at_1cm,diverse_minus_baseline_success_rate_at_1cm,baseline_success_rate_at_2cm,diverse_success_rate_at_2cm,diverse_minus_baseline_success_rate_at_2cm,baseline_success_rate_at_5cm,diverse_success_rate_at_5cm,diverse_minus_baseline_success_rate_at_5cm,baseline_mean_best_distance,diverse_mean_best_distance,diverse_minus_baseline_mean_best_distance,baseline_mean_final_distance,diverse_mean_final_distance,diverse_minus_baseline_mean_final_distance
20,reach,spatial_distribution,spatial_narrow,spatial_wide,0.013333333333333334,0.03777777777777778,0.024444444444444442,0.07333333333333333,0.1311111111111111,0.05777777777777776,0.14666666666666667,0.29777777777777775,0.15111111111111108,0.13334453339378038,0.1090566855803546,-0.024287847813425786,0.2694148187732531,0.2734776044981037,0.004062785724850637
20,avoid_reach,spatial_distribution,avoid_spatial_narrow,avoid_spatial_wide,0.017777777777777778,0.022222222222222223,0.004444444444444445,0.044444444444444446,0.12666666666666668,0.08222222222222222,0.19999999999999998,0.36000000000000004,0.16000000000000006,0.13069844408064255,0.09271747040614071,-0.03798097367450183,0.3650379959742229,0.5296000512358215,0.16456205526159867
20,reach,camera_location_viewpoint,camera_fixed,camera_multi_pose,0.8088888888888889,0.7511111111111112,-0.057777777777777706,1.0,1.0,0.0,1.0,1.0,0.0,0.007690376348586546,0.009035595709251033,0.001345219360664487,0.06199102584272623,0.13744247033364243,0.0754514444909162
20,avoid_reach,camera_location_viewpoint,avoid_camera_fixed,avoid_camera_multi_pose,0.3333333333333333,0.3333333333333333,0.0,0.6622222222222223,0.6666666666666666,0.004444444444444362,1.0,1.0,0.0,0.016588663627497023,0.01600372447632253,-0.0005849391511744927,1.0115277564525604,1.0884088860617744,0.076881129609214
20,reach,lighting_direction_intensity,lighting_fixed,lighting_diverse,0.39111111111111113,0.4711111111111111,0.07999999999999996,0.5866666666666667,0.8044444444444444,0.21777777777777774,0.9377777777777778,1.0,0.06222222222222218,0.02176122805931502,0.012532912743174368,-0.009228315316140651,0.16132432091567253,0.08464052817059887,-0.07668379274507366
20,avoid_reach,lighting_direction_intensity,avoid_lighting_fixed,avoid_lighting_diverse,0.0,0.0,0.0,0.4266666666666667,0.3333333333333333,-0.09333333333333338,0.8533333333333334,1.0,0.1466666666666666,0.03954703689449363,0.020659585448188914,-0.01888745144630472,0.6398681410815982,0.8263397188981374,0.18647157781653922
50,reach,color,color_red_only,color_multi,0.6444444444444445,1.0,0.3555555555555555,1.0,1.0,0.0,1.0,1.0,0.0,0.010313437238025169,0.0036264683694268267,-0.006686968868598342,0.04601854558051047,0.055253959985242955,0.009235414404732488
50,avoid_reach,color,avoid_color_red_only,avoid_color_multi,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,1.0,0.0,0.01729650461425384,0.017004131401578585,-0.00029237321267525443,0.8688250054253471,0.9509110539489322,0.08208604852358503
50,reach,spatial_distribution,spatial_narrow,spatial_wide,0.044444444444444446,0.04888888888888889,0.004444444444444445,0.11777777777777777,0.26,0.14222222222222225,0.20444444444444443,0.54,0.3355555555555556,0.13552728175340842,0.07073603071712165,-0.06479125103628677,0.27570369764127667,0.16023115748539565,-0.11547254015588101
50,avoid_reach,spatial_distribution,avoid_spatial_narrow,avoid_spatial_wide,0.006666666666666667,0.015555555555555557,0.00888888888888889,0.02666666666666667,0.10222222222222221,0.07555555555555554,0.18666666666666668,0.3244444444444445,0.1377777777777778,0.128993385978457,0.09606523572570747,-0.03292815025274953,0.33153670678329134,0.33434276791910333,0.002806061135811999
